winner,loser,probability
Sampdoria,Cagliari,0.513293283714
Sassuolo,Spal,0.736606957284
Atalanta,Torino,0.536778363739
Fiorentina,Atalanta,0.512513332405
Inter,Cagliari,0.628629655169
Parma,Empoli,0.695940848169
Genoa,Frosinone,0.884184724098
Roma,Lazio,0.566674709868
Milan,Sassuolo,0.768399103559
Sampdoria,Spal,0.906453503463
Torino,Chievo,0.579766532682
Bologna,Udinese,0.524446777286
Juventus,Napoli,0.5503829725
Cagliari,Bologna,0.538755983873
Milan,Chievo,0.694577226282
Lazio,Fiorentina,0.564251430578
Torino,Frosinone,0.930900985317
Inter,Spal,0.895263346944
Juventus,Udinese,0.546804582152
Genoa,Parma,0.667884848005
Roma,Empoli,0.806085382044
Atalanta,Sampdoria,0.584801144996
Napoli,Sassuolo,0.791162319933
Atalanta,Chievo,0.573230040035
Fiorentina,Cagliari,0.606496757526
Empoli,Frosinone,0.69361364545
Juventus,Genoa,0.619506613129
Lazio,Parma,0.651919433175
Napoli,Udinese,0.540162033188
Roma,Spal,0.924483193045
Sampdoria,Sassuolo,0.758891409975
Torino,Bologna,0.560320291036
Milan,Inter,0.510902129631
Bologna,Sassuolo,0.653622162038
Cagliari,Chievo,0.557753756933
Torino,Fiorentina,0.57976540967
Spal,Frosinone,0.555705248818
Lazio,Inter,0.54185629626
Juventus,Empoli,0.802927367168
Atalanta,Parma,0.727602831118
Milan,Sampdoria,0.630967582295
Genoa,Udinese,0.550785934286
Napoli,Roma,0.531874614597
Atalanta,Bologna,0.553714158973
Juventus,Cagliari,0.644643669523
Napoli,Empoli,0.842289438544
Parma,Frosinone,0.850277975749
Inter,Genoa,0.603057328899
Milan,Udinese,0.583606057369
Roma,Fiorentina,0.501900325088
Lazio,Spal,0.917552607463
Chievo,Sassuolo,0.700895788392
Torino,Sampdoria,0.506692336596
Chievo,Bologna,0.520448783213
Cagliari,Spal,0.857229829113
Fiorentina,Frosinone,0.899087783159
Atalanta,Inter,0.550700193531
Lazio,Sassuolo,0.726589215385
Napoli,Genoa,0.530093485352
Torino,Parma,0.733056905919
Roma,Sampdoria,0.599207040907
Udinese,Empoli,0.741456494499
Milan,Juventus,0.581862328301
Atalanta,Empoli,0.796912279159
Napoli,Chievo,0.654512602687
Fiorentina,Bologna,0.523912968675
Inter,Frosinone,0.92707224824
Milan,Lazio,0.512232842745
Roma,Udinese,0.551775709576
Juventus,Spal,0.923020292916
Genoa,Sampdoria,0.514659337228
Parma,Sassuolo,0.618839645422
Torino,Cagliari,0.561763030694
Sampdoria,Bologna,0.593121559192
Cagliari,Frosinone,0.872644673726
Empoli,Spal,0.664851655041
Torino,Genoa,0.616866844497
Fiorentina,Juventus,0.503119579972
Lazio,Chievo,0.564770474168
Atalanta,Napoli,0.540744582248
Milan,Parma,0.764290863838
Udinese,Sassuolo,0.667816944822
Roma,Inter,0.565409999141
Juventus,Inter,0.560299541335
Atalanta,Udinese,0.537475280116
Bologna,Empoli,0.729132134415
Chievo,Parma,0.551908584457
Fiorentina,Sassuolo,0.709285813715
Napoli,Frosinone,0.929831425871
Roma,Cagliari,0.56935310959
Genoa,Spal,0.896726637819
Lazio,Sampdoria,0.576111815555
Milan,Torino,0.584490571545
Chievo,Spal,0.848311426256
Fiorentina,Empoli,0.823477707711
Roma,Genoa,0.624390241675
Torino,Juventus,0.540973190352
Atalanta,Lazio,0.551973791418
Milan,Bologna,0.599432381919
Napoli,Cagliari,0.557829902076
Sampdoria,Parma,0.691756416469
Sassuolo,Frosinone,0.761420755127
Inter,Udinese,0.612385406501
Atalanta,Genoa,0.527399374201
Bologna,Parma,0.570796200411
Lazio,Cagliari,0.627385496229
Milan,Fiorentina,0.619628684545
Udinese,Frosinone,0.904528261339
Inter,Chievo,0.56603561756
Napoli,Spal,0.92102935487
Sampdoria,Empoli,0.768301458504
Torino,Sassuolo,0.738590422964
Juventus,Roma,0.538763374813
Sampdoria,Chievo,0.611494849109
Torino,Empoli,0.844470178503
Cagliari,Genoa,0.513216161766
Atalanta,Juventus,0.534088893047
Lazio,Bologna,0.545174686535
Milan,Frosinone,0.923755726714
Fiorentina,Parma,0.702327348377
Roma,Sassuolo,0.799056804749
Udinese,Spal,0.865467278838
Inter,Napoli,0.533197090974
Atalanta,Sassuolo,0.733388299322
Napoli,Bologna,0.636965927061
Udinese,Cagliari,0.557830910945
Genoa,Fiorentina,0.502564139262
Chievo,Frosinone,0.891264612225
Inter,Empoli,0.792121196807
Roma,Parma,0.672529552001
Milan,Spal,0.933335205841
Juventus,Sampdoria,0.594208779589
Lazio,Torino,0.527895356586
